Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
FGD3_P1, Heat exposure, population density,, The outer areas are more densely populated.,,
FGD3_P7, Heat Exposure, Population Density,,The population density is low.,,
"FGD3_P4,P5,P8,P9",Other Recommendations, Responsible Authorities,,"The people in our area are very far from government services. They could provide a water supply. If there’s a water tap on the road, it would be very helpful for the people. Okay, so a water tap on the road would be useful. From here to the airport is 5 kilometers, but we haven’t received any government services. The airport is so close.",,
KII_P7,Other Recommendations, Responsible Authorities,,"“Yes, we have some work related to this in the Ministry of Health. We have a cell called the Climate Change Health Promotion Unit. You can go there and talk to them. It’s actually related to environmental disaster management, climate change, and public health, all of which are closely connected, right? Climate change is a major issue for us, especially because Bangladesh is highly prone to disasters. There are cyclones, tornadoes, floods, flash floods, river erosion, and riverbank collapses, which are regular occurrences here, and they pose subsequent health risks. Dealing with these public health challenges is a very important task. For example, excessive rainfall leads to a dengue outbreak, floods cause diarrhoea, malaria, and cholera outbreaks. Therefore, every disaster, every natural calamity results in public health management that must follow.”",,
"FGD3_P1,P2,P8",Heat Exposure, Seasonal Variation,," During Chaitra (March-April). Chaitra, Baishakh, and Joishtho (March to May)—those three months are the hottest. The weather itself has changed a lot. It’s unpredictable now. Sometimes it’s cold during the hot season, and hot during the cold season.",,
FGD2_P7,Heat Exposure, Tree Cover,,We grow vegetables on our roof.,,
FGD3_P1,Heat Exposure, Tree Cover,," If it gets too hot, you can sit under the trees. How will the heat bother you then?",,
FGD2_P3,Barriers to Coping Heat, Unavailability of government services,,There is no big hospital on our side.,,
FGD2_P3,Barriers to Coping Heat, Unavailability of government services,,Is there any water arrangement from the government or any other organization? Any access to clean drinking water?,,
"FGD3_P9,P4,P5",Heat Exposure, Waste and Stagnant water,,But this environment has been deteriorating this year. Look at the garbage and dirty water it has ruined everything here.,,
FGD2_P7, Adaptive Capacity," Water, saline",,"When they fainted, we gave them cold water and saline, helped them recover, and then sent them home. Such incidents have happened",,
"FGD2_P2,P3,P6",Recommended Adaptation Strategies,Access to Safe Drinking Water,,"Yes, that would be much better.Now, it’s just that they come with a truck, distribute it, and leave",,
FGD2_P3,Recommended Adaptation Strategies,Access to Safe Drinking Water,,"But if there were a permanent setup, the water would always be available.",,
"FGD2_P7,P6,P2,P3",Recommended Adaptation Strategies,Access to Safe Drinking Water,,"Yes, absolutely, it should be kept available.",,
FGD2_P8,Recommended Adaptation Strategies,Access to Safe Drinking Water,,"That’s a harmful side of it. But if they can manage it, it would be wonderful. It would give regular people a chance to benefit directly",,
FGD6_P6,Recommended Adaptation Strategies,Access to Safe Drinking Water,, “It would be good for everyone if such arrangements were made.”,,
FGD6_P6,Recommended Adaptation Strategies,Access to Safe Drinking Water,,“It should be publicly accessible to everyone.”,,
FGD6_P6,Recommended Adaptation Strategies,Access to Safe Drinking Water,," “For example, in our market, if two water tanks could be arranged at two key intersections, it would be great. We could maintain those tanks ourselves, but if someone could install them, connect them with tube wells, and ensure the water is cool, it would be helpful for everyone, especially during summer. People passing by could drink cold water without buying a bottle for 15-20 taka. Having two tanks at the two ends of the market would allow everyone to benefit. Even those who can’t afford to buy water could quench their thirst and carry on with their work.”",,
FGD-9_P1,Recommended Adaptation Strategies,Access to Safe Drinking Water,,"As I think, maybe the buildings being constructed now, those cannot be demolished. But if something can be done for us, for example, installing a tank every 1 to 2 kilometers, with glass and always locked. At least, if someone is thirsty, it would help a little. They could drink water and feel relieved.",,
KII_P6,Recommended Adaptation Strategies,Access to Safe Drinking Water,,"But if you think realistically, it can start by giving them a bottle of water or making them aware that they need to drink a certain amount of water and ensuring they refill it. Or you can say that it’s fine to drive a rickshaw during certain hours, like from 8 am to 10 am when the sun is down, but after 12 pm to 2 pm, they should take a break every 10 minutes and stay hydrated. These messages are very important.",,
KII_P6,Recommended Adaptation Strategies,Access to Safe Drinking Water,,"“And heat stress doesn’t happen every day. In summer, your temperature will be high; it’s normal in our tropical environment, and our bodies are acclimatized. But there’s a limit, like you said, above 36, 37, or 38 degrees, you observe it, and you say the temperature will stay above 40 degrees for the next two weeks. That’s when you support these people. You give the news, make sure the news channels are going there. And if you’re talking about incentives and subsidies, maybe we are working from home, but if you ask rickshaw pullers to work from home, how will they survive? Or for daily laborers, how will they survive? What you can do, as a citizen, is provide basic support services from the city end. For example, water treatment. You ensure that every rickshaw puller who stays in a slum or garage has access to good water treatment, a filter. Make sure that every rickshaw puller can access water from there. There was a time when they used to get water for free from a local shop, but now they have to pay five taka for a glass of water. I studied that for outdoor laborers, it’s standard to drink eight ounces of water every after 20 minutes. When calculated, this is around five liters of water per day. For us, three to three and a half liters is fine, but for outdoor laborers, a minimum of four to five liters is standard. And in my research, I found that 93% of my respondents were unable to meet this basic need. So, dehydration, rehydration, anxiety, and the impact on their income, these have a big impact. And that’s what my data says. It’s not something I made up, and I’m getting support for this from both the literature and my own data.”",,
"FGD3_P1,P5,P6",Recommended Adaptation Strategies ,Access to Safe Drinking Water,,It would be good. It would be good for everyone.,,
KII_P5,Adaptive capacity,Air Conditioning,,"The first issue regarding temperature is that there is a significant change in our lifestyle, right? Our lifestyle is changing. We have now become dependent on air conditioning. I mean, we can no longer stay dependent on the natural environment. We have completely shifted to being artificially dependent on this, right? So, this is definitely a big change in our lifestyle from every aspect.","Lifestyles have changed significantly in recent years. Air conditioners were once considered a luxury, but they have increasingly become a means of coping with extreme heat, particularly for families that can afford to install them in their homes. Those who cannot afford an air conditioner sometimes visit air-conditioned shops or markets to get temporary relief from the heat.",
FGD2_P1,Adaptive Capacity,Air conditioning,,I need to use the AC.,,
FGD5_P2,Adaptive capacity,Air conditioning,,“We take them to any shop with AC and let them rest there for a while. (Others agree.)”,,
FGD5_P2,Adaptive capacity,Air conditioning,,“It depends on one’s financial capacity. (Another participant speaks in the background.) Everyone has fans at home. Some even have air conditioners. That’s about it.”,,
FGD5_P5,Adaptive capacity,Air conditioning,,"“If someone falls sick, there’s an air-conditioned market nearby, where we take them for a while. (Several responded nods positively)”",,
FGD7_P10,Adaptive capacity,Air conditioning,,Install one AC for every building with five or six stories. That will make it less hot at night.,,
KII_P10,Adaptive capacity,Air conditioning,,"“And one major problem we have is with heat-related health data, that’s the biggest challenge for us.”",,
KII_P2,Heat Sensitivity,Animals and Birds,,"This is a huge gap. We can talk about Europe in the context of climate change, like how many weeks earlier or later birds are laying eggs. But in our country, we don't research such problems with birds.",,
KII_P6,Stakeholder Responsibility,Authorative action,,"And the biggest problem is that you just generate the message and you're done with your duty. But that's not the case. How do we build capacity? These people are facing heat, and what precautionary measures can be taken alongside it? Who is responsible for the dissemination of this information? These were the things I was working on for my thesis. Which stakeholder will actually do these things? Now, when I talk to DNCC, they say it's the Ministry's job, and the Ministry says it's someone else's job. It's just a game they play!",,
KII_P6,Heat Perception,Availability of Data on Heat,,"From 2005, when our adaptation or climate change policies started coming up, I mean, the last NAP that came out in 2022, before that, heat was never significantly or separately mentioned anywhere. Everywhere it was just talking about temperature increase, temperature rise. In a couple of places, it says heat will increase, temperature will rise. So, the first focus on heat, I think, happened in the 2022 NAP. There, it separately mentioned how much employment or GDP impacts will come due to heat. So, if you look at the other impacts or disasters that have been happening historically in Bangladesh, cyclones, floods, there has been a lot of study and research. But regarding heat, when they faced the impact around 2016-17, and in 2023 we hit the maximum, and in 2024, it became even higher, I was looking at a report that day. That’s when the studies started increasing. But it's not like we didn't predict this. In the summer, the temperature was rising.",,
KII_P6,Heat Perception,Availability of Data on Heat,,"Now, the problem is, when I went to BMD for data, it was very challenging for me. Because their historical data, they couldn’t produce it like that. And the biggest issue is, we don't have any particular definition of which data will be considered a heat wave or a heat index, and when to say that this is the start of a heat wave.",,
KII_P6,Heat Perception,Availability of Data on Heat,,"As you see, the heat issue is a physical environment issue, so predicting it is not an easy task. But what you can do is use neighboring regions as reference values. So far, in Bangladesh, I haven’t seen any literature or any definition that clearly states that if it’s within a certain range, we call it a heat wave.",,
KII_P6,Heat Perception,Availability of Data on Heat,Recommendation,"One thing we could do is if we look at data quality, from that perspective, I had some opportunities working at ICDDRB. The way they maintain data and use it as a resource is very effective. So, when you actually practice with the data, you fall into an accountable system where you know that some researcher will use this data for research, so you need to maintain it well. But how much access do we really have to BMD data? Researchers in the math community face bureaucratic processes—this has to be done, that has to be done, write a letter, make a call. We have to make these processes faster, simpler—how can we simplify it? Especially for those in academia or research. So, if we can do that, ultimately they will be accountable within the system, understanding that this data is important. These data will be useful for something, so we need to store them or build internal capacity for such things. This falls under institutional capacity. And if they want support, I believe there are many organizations here ready to provide such support, like data banks, to help maintain the data. But the key is that it must be open—the openness part is important",,
KII_P6,Heat Perception,Availability of Data on Heat,Recommendation,"That's why I mentioned that external support will be needed, the openness part. There's a difference between saying ""I don't have it, I won't do it"" and saying ""I don't have it, I admit it, and if you want, you can support me."" So, the question is where the support will come from. If I don't evaluate myself—what resources I have, not only my equipment but also the manpower—how well-trained and educated my manpower is. I wouldn't quote this, but I have heard this kind of thing",,
KII_P6,Heat Perception,Availability of Data on Heat,Recommendation,"Expertise was not there. Yet, deciding whom to appoint where is also important. If you appoint a literature person to a sensitive area like this, their thought process will stay in that domain, and there will be no progress. To put it simply, that's the situation. But if you appoint someone who is research-centric, interested, and willing to work, such a person can bring about the change within the system. So, where we appoint people, and which resources we allocate to whom, that’s very important. And as I said, without external support, none of us can work alone. I mean, in the context of Bangladesh, that's not possible. Because, no matter what you say, we always need external support for every development in Bangladesh. You can say we have the capacity, we might just need training, or we might need resources. But the openness should exist. And in the case of BMD, I’d say, they don’t have the blaming attitude like, “It’s the ministry’s responsibility, so you call them.”",,
KII_P6,Heat Perception,Availability of Data on Heat,,"It's a very good question because the thing is, the relationships are something that we are still doing some research on. But I’m sorry to say, from the papers I’ve been reading, everything that's happening, like the special analysis of Dhaka City, land use is increasing the heat. That’s fine, that’s good, that’s one way. But the thing is, localizing that data and raising awareness among local people about heat, such data is very rare. Perhaps some work from BRAC, some work from ICDDRB, you might find in their hospitals. Why I’m saying this is because I worked at ICDDRB for a while on the Initiative for Climate Change and Health. So, what we were doing there, we were working on air pollution and pregnancy outcomes. Believe me, when we went to the hospitals, we couldn't find any significant relationships on how we would relate it. Some data we got from the hospitals where things were monitored, but in bigger hospitals, they couldn’t do this. But recently, ICDDRB has been looking at how the rate of diarrheal diseases is during the summer, and they are trying to relate that. So, what I said about understanding interconnectivity is now becoming the time to understand which one connects with what. When we say that climate change is happening, Bangladesh is the most vulnerable country, this statement has been repeated so much. Everywhere you’ll see in reports that Bangladesh is the most vulnerable. The question is why? When you go to an international conference, like at COP or any top conferences, people say that this is happening, but if you can’t bring solid evidence, it will draw more attention.",,
KII_P6,Heat Perception,Availability of Data on Heat,,"Regarding heat, you will be lost. Honestly, I can tell you that you won’t find better data than 12 to 14. There is no literature like this. So, whatever you do regarding heat is going to be a good thing, for everyone.",,
FGD2_P6,Barriers to Coping Heat,Availability of Drinking Water,,"Since we’re on the road, we can't do anything without water.","During periods of extreme heat, drinking adequate water is one of the major coping mechanisms for people. However, participants mentioned their barriers to safe drinking water. Most of the time, the water supplied by WASA has a bad odor, like a bleaching smell, and it contains iron and is not drinkable. But people are left with no other choice but to drink the water. One Key participant confirmed the claims of the participants that clean water is often out of reach for the people living in certain areas of Dhaka city, highlighting the inequality in basic needs of different socio-economic classes of the city. City corporations had introduced outdoor water supply facilities for pedestrians in certain areas as part of heat adaptation efforts. However, these facilities were perceived to be limited in coverage and unavailable in many locations across the city. Participants explained that, during travel or periods of heat-related discomfort, access to drinking water often depended on purchasing bottled water, which was considered a financial burden for lower-income populations. As a coping strategy, many individuals reported carrying water while traveling or working outdoors to stay hydrated and manage the effects of extreme heat.",
FGD2_P1,Barriers to coping heat,Availability of Drinking Water,,"The heat causes a lot of suffering, many people come to pharmacies due to illness caused by the heat. If there was a good water facility or drinking water arrangement, that would help a lot.",,
FGD2_P6,Barriers to Coping Heat,Availability of Drinking Water,,"We drink whatever is available. Whether it's purified or not, we don’t have the time to worry about that.",,
"FGD3_P1,P2,P3",Barriers to Coping Heat,Availability of Drinking Water,,"We carry water from home in bottles. You have to carry water from home? Yes, we carry it in bottles. Is there no provision for drinking water outside? No, there isn’t.",,
FGD6_P2,Barriers to Coping Heat,Availability of Drinking Water,,"“Right now, we often can't wash our hands or face on time due to a lack of water or electricity. It feels quite inconvenient—no water, nothing at all.”",,
FGD6_P4,Barriers to Coping Heat,Availability of Drinking Water,,“There’s no public water supply outside on the street.”,,
FGD6_P7,Barriers to Coping Heat,Availability of Drinking Water,,"“The City Corporation arranged for some facilities in different areas, but not in our area.”",,
FGD8_P9,Barriers to Coping Heat,Availability of Drinking Water,,"The water contains iron and smells bad, so we can’t drink it.",,
FGD-9_P4,Barriers to Coping Heat,Availability of Drinking Water,,"Imagine a person driving a vehicle they feel thirsty, but there’s no place to stop and drink water. Either they have to go to a hotel or buy a bottled water like ""Mam"" water. And even that costs 20 taka. Now, if their income is low, think about how difficult it is.",,
FGD-9_P8,Barriers to Coping Heat,Availability of Drinking Water,,"The water from the government line has a bleaching smell, and it’s often dirty. You can’t even put it in your mouth sometimes.",,
FGD-9_P9,Barriers to Coping Heat,Availability of Drinking Water,,"Is there any provision for water outside? Like a public tap or water motor for travelers or anyone who might need a drink? No, there’s nothing like that here.",,
FGD-9_P9,Barriers to Coping Heat,Availability of Drinking Water,,"Yes, I’ve noticed that whether you’re a tenant or a house owner, there’s no issue, there’s no topic, and everyone is a citizen of Bangladesh, right? While walking down the road, suppose an uncle becomes sick, he might look healthy, but could have Diabetes or something. Walking on the road or riding a rickshaw, there’s no water system on the street, no water points either.",,
KII_P3,Barriers to Coping Heat,Availability of Drinking Water,,"We have observed that they suffer from a lack of access to clean drinking water, and due to the absence of shade, they do not have a place to escape the heat",,
FGD8_P5,Adaptive capacity,Availability of Healthcare Facilities,,"There’s an ""Alo Clinic"" now. we go there. Otherwise, we go to Mitford Hospital.", ,
"FGD3_P5,P1",Adaptive Capacity,Availability of Healthcare Facilities,,"There is less density of houses here. There’s less pressure, fewer houses",,
FGD-8_P5,Adaptive capacity,Availability of Healthcare Facilities,,"There’s an ""Alo Clinic"" now. we go there. Otherwise, we go to Mitford Hospital.",,
FGD-9_P4,Adaptive capacity,Availability of Healthcare Facilities,,There are pharmacies where people consult and get medicines.,,
FGD-9_P9,Adaptive capacity,Availability of Healthcare Facilities,,"This area, like you mentioned, has Alo Clinic. Yesterday, I saw people coming all the way from across the river to this clinic.",,
FGD-9_P9,Adaptive capacity,Availability of Healthcare Facilities,,"In severe cases, we have to take them to a medical hospital.",,
KII_04_D,Adaptive capacity,Availability of Healthcare Facilities,,"Also, our facilities have improved. Now, as soon as we feel slightly uncomfortable, we seek relief indoors. Previously, these facilities were not available, so people had better heat endurance. Now, we feel we are not as capable.",,
FGD7_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"It’s very hot by the railway tracks. When there’s no electricity, it feels impossible to stay at home.","Participants described the limited supply of electricity as the major challenge in coping with extreme heat, particularly among lower socio-economic populations. Frequent and prolonged power outages were commonly reported, occurring at various times of the day and night. Participants explained that electricity disruptions made indoor environments extremely uncomfortable and unbearable, especially in tin-shed dwellings where heat retention was perceived to be particularly high. Many participants stated that sleeping at night became difficult or nearly impossible during periods of load shedding due to the lack of fans and poor ventilation. Beyond such complaints, participants also highlighted the broader disruptions caused by power outages, including difficulties in accessing water, as electric pumps and water supply systems often became non-functional during load shedding. Inaccessibility to water also makes it challenging for the people to cope with the extreme heat. Some participants emphasized that, although heat itself could still be tolerated to some extent, the absence of electricity significantly intensified their suffering and was perceived as one of the most critical challenges during periods of extreme heat and heatwaves.",
FGD2_P6,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"And last year, it was even worse. Back then, there was more load-shedding of electricity. Since more people were present, electricity was available during the heat, so people didn’t face as many problems.",,
FGD2_P6,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"P6: It’s worse this year. However, there was load-shedding last year, meaning there was an electricity shortage then.",,
FGD2_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"During power cuts, we can’t lift water.",,
FGD2_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"So, does the heat feel more intense when there’s load-shedding? P7: Yes.",,
FGD5_P8,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“It gets very hot here, especially during power outages. People tend to go outside because it’s unbearable.”",,
FGD6_P1,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,” The biggest problem during extreme heat is load shedding.”,,
FGD6_P2,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“Due to frequent load shedding in the heat, women mostly stay home and cook, which leads to sweating, causing more problems.”",,
FGD6_P2,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“Right now, we often can't wash our hands or face on time due to a lack of water or electricity. It feels quite inconvenient—no water, nothing at all.”",,
FGD6_P4,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“For example, during the day, it might go out for an hour after every two hours.”",,
FGD6_p6,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,“The biggest issue is caused by load shedding.”,,
FGD6_P6,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“You can manage with the existing heat, but when there’s load shedding, it becomes a major issue.”",,
FGD6_P6,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“It used to be okay before, then it became very bad for a while. But recently, it has slightly improved.”",,
FGD6_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“It's less frequent now compared to before. It used to happen more often, but now it's a bit better.”",,
FGD6_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"“In the afternoon, it might be out for an hour or even an hour and a half.”",,
FGD8_P2,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"And during extreme heat, that’s when load-shedding happens the most. I mean, they cut the electricity every 10 minutes.",,
FGD-8_P2,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"And during extreme heat, that’s when load-shedding happens the most. I mean, they cut the electricity every 10 minutes.",,
FGD8_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"if the electricity goes out, staying at home becomes unbearable. Especially in a tin-shed house—people get even more restless in the heat.",,
FGD-8_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"It’s very hot by the railway tracks. When there’s no electricity, it feels impossible to stay at home.",,
FGD-8_P7,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"if the electricity goes out, staying at home becomes unbearable. Especially in a tin-shed house—people get even more restless in the heat.",,
FGD8_P9,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"When there's load shedding, the suffering never ends. There are so many problems.",,
FGD-8_P9,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"When there's load shedding, the suffering never ends. There are so many problems.",,
FGD-9_P4,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"If the electricity goes out, I can’t even walk outside. It’s that bad.",,
FGD-9_P4,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,Load shedding happens mostly during the summer.,,
FGD-9_P5,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"If the fan stops due to power cuts, you go outside, but it’s still hot outside.",,
FGD-9_P8,Barriers to Coping Heat,Availability of Uninterrupted Electricity,,"At night, without electricity, I can’t sleep, so I just sit up.",,
KII_P7,Adaptive capacity,Awareness,,"Actually, we don't have any studies on that. And the pregnancy period, socially, we have become much more aware than before. We are becoming more and more conscious day by day. The pregnancy period is now being given more care, even in rural societies. I don't think anyone would let their family member who is pregnant go into any risk during that time. I don't think that situation exists in Bangladesh now. People are aware of such issues, right?","Recently, as a society, people have developed much awareness about heat and heat adaptation. For example, during heat waves, primary schools and colleges are kept shut. As children are among the vulnerable groups, closing schools during such periods reduces their exposure to such conditions.",
KII_P8,Adaptive capacity,Awareness,,"“So far, I see two main approaches: they are trying to raise some awareness and are closing schools when temperatures become extreme.”",,
FGD2_P7,Recommended Adaptation Strategies,Awareness Campaign,,"If I go to that market and tell the shopkeeper to stop using plastic bags, it won’t work. Plastic imports need to be stopped. Once that’s done, plastic bags will stop on their own.",,
FGD2_P9,Recommended Adaptation Strategies,Awareness Campaign,,"To protect from the heat, if seminars or symposiums are held in each ward from 8 to 10 a.m., focusing on the working-class people, the middle class, or anyone involved in daily labor, awareness could be raised.",,
FGD2_P9,recommended adaptation strategies,awareness campaign,,"If people cooperate and help each other, it could lead to better protection from the heat. For example, advising people to take two showers a day to avoid heatstroke would be beneficial. If we do these things, we can protect ourselves from the heat and these related issues.",,
KII_04_M2,Recommended Adaptation Strategies,Awareness Campaign,,"Actually, I think the Dhaka City Corporation has just started this in the last two years, in collaboration with the German Red Cross. It's only started on a pilot basis in specific areas. it hasn't been implemented throughout Dhaka city yet. So, I think the first thing is to make the vulnerable groups aware of what they need to do. It is crucial because another thing is, we sent a message and issued a warning, but if no one takes care, there’s no benefit. The most important thing is sensitizing them on what actions to take when such warnings are issued. And like you said, people living in tin houses should be told to create a gap under the tin to prevent the heat from radiating downward. I think these actions are just starting, and it will take more time to make it fully effective.",,
KII_P6,Recommended Adaptation Strategies,Awareness Campaign,,"I cannot say exactly about this, but I feel like any kind of intervention is fine as long as it cools down the heat. But I think these things, these are kind of tangible things that you can see, like when they are spraying water, the temperature may decrease to some extent, but how will you reach the community or how will you really concern them about their health? So we should keep these things in mind as well.",,
KII_P6,Recommended Adaptation Strategies,Awareness Campaign,,"First, you need to identify which stakeholders are most vulnerable. You should rank them. Now, everyone is vulnerable, including you and me and everyone who belongs to Dhaka city. But there are categories within that, who are more vulnerable, who are most vulnerable, and who will have direct impacts. Some will find shelter, while others will not be able to immediately go to a shelter. These things should be part of our criteria, first of all. Then the second step could be: what can we do for the most vulnerable communities, those who are outdoors working for 12 hours a day? What can we do for them? And I think the first thing we can do is to disseminate early warnings. How will the dissemination be done? This came up in my research as well. During COVID, in a populous country like Bangladesh, our death rate was much lower compared to other European nations or neighboring countries. How was this possible? Because we were well-informed, we had daily bulletins, and every news outlet was sharing it: wear a mask, don’t go outside. Even on my smartphone, or even on a basic phone, I used to receive SMS alerts from the government saying: wear a mask, do this, do that.",,
KII_P6,Recommended Adaptation Strategies,Awareness Campaign,,"Absolutely. So, if I do this for heat, if you have a smartphone or even a basic phone, at least now they have access to it. You generate a message, and you trace the most vulnerable communities. You go there and campaign: ""Hey, see, there will be a heatwave in the next two weeks, please take care of yourself in this way. Drink water, wear caps, take breaks till 12 PM, etc."" These kinds of awareness campaigns are really necessary.",,
KII_P6,Recommended Adaptation Strategies,Awareness Campaign,,"But if you think realistically, it can start by giving them a bottle of water or making them aware that they need to drink a certain amount of water and ensuring they refill it. Or you can say that it’s fine to drive a rickshaw during certain hours, like from 8 am to 10 am when the sun is down, but after 12 pm to 2 pm, they should take a break every 10 minutes and stay hydrated. These messages are very important",,
KII_P6,Recommended Adaptation Strategies,Awareness Campaign,,"Campaigns. Regarding campaigns, still, in Bangladesh, as you see, or I always say, I’ve traveled through many districts of Bangladesh, and in fact, the dynamics of rural areas, they are very good listeners. You see, people in rural areas, they are very good listeners. And their social cohesion, they listen to the elders. If an outsider comes, they listen to them first, they don’t react immediately. But if you speak like this with city people, they think, “Oh, they understand more, they do this, do that, do talk shows, etc.” So, the issue here is, how do you make a person a very good listener? How do you grab their attention? You have to become like them, or you have to make someone from their community to deliver the message to them, okay? What we call, growing local leadership.",,
KII_P7,Recommended Adaptation Strategies,Awareness Campaign,,"No, we need to develop awareness. When someone dies due to heat, it should be mentioned as one of the causes of death in the records. Once this is researched widely, there will definitely be a space in the cause of death to mention heat as a contributing factor.”",,
KII_P7,Recommended Adaptation Strategies,Awareness Campaign,,"Regarding awareness, when it comes to heat stroke, you should tell people to stay indoors as much as possible and avoid going out in the heat. And for the long-term issues, ultimately, nature and the environment are what matter. If we do not protect nature, if we do not protect our environment, the destruction of civilization is inevitable. This is the awareness you can raise. For instance, why are we working with plastic? Plastic can become a disaster for Bangladesh, the people, and the planet in the future. You have the assessment of this. So, plastic, polythene should be properly stored, not just thrown around. It should not go into the soil layers or cause any future disasters. This is one thing we can do to improve the environment.”",,
KII_P8,Recommended Adaptation Strategies,Awareness Campaign,,"As I mentioned earlier, we can take various awareness programs. The biggest factor here is that we have become highly dependent on social media. Everyone, from young to old, relies on social media now. We can utilize this platform to create awareness it is a significant medium. At the same time, we need to integrate these issues into academic activities. Over time, we have gradually removed everything from books, leaving nothing in them. Now, we need to slowly bring these topics back.",,
KII_P8,Recommended Adaptation Strategies,Awareness Campaign,,"Given this, how can we possibly control regular people? Raising awareness is the only solution, but if someone isn’t personally aware, they will keep gaining weight. I know I am overweight, yet I can’t start my day without two teaspoons of sugar in my tea. I justify it by telling myself that my brain needs sugar to function. So ultimately, awareness is a personal responsibility, and no matter how much effort is put into it, you can’t completely control it.",,
